git 2023-03-16 20:14:46.272 [main] INFO  calculator.Calculator - SQUARE ROOT - 3.0
2023-03-16 20:14:46.280 [main] INFO  calculator.Calculator - SQUARE ROOT - 3.0 - ANSWER 1.7320508075688772
2023-03-16 20:14:46.281 [main] INFO  calculator.Calculator - SQUARE ROOT - 4.0
2023-03-16 20:14:46.281 [main] INFO  calculator.Calculator - SQUARE ROOT - 4.0 - ANSWER 2.0
2023-03-16 20:14:46.282 [main] INFO  calculator.Calculator - NATURAL LOG - 1.0
2023-03-16 20:14:46.282 [main] INFO  calculator.Calculator - NATURAL LOG - 1.0 - ANSWER 0.0
2023-03-16 20:14:46.283 [main] INFO  calculator.Calculator - NATURAL LOG - 1.0
2023-03-16 20:14:46.283 [main] INFO  calculator.Calculator - NATURAL LOG - 1.0 - ANSWER 0.0
2023-03-16 20:14:46.284 [main] INFO  calculator.Calculator - POWER - 2.0 RAISED TO 2.0
2023-03-16 20:14:46.295 [main] INFO  calculator.Calculator - POWER - 2.0 RAISED TO 2.0 - ANSWER 4.0
2023-03-16 20:14:46.295 [main] INFO  calculator.Calculator - POWER - 2.0 RAISED TO 3.0
2023-03-16 20:14:46.295 [main] INFO  calculator.Calculator - POWER - 2.0 RAISED TO 3.0 - ANSWER 8.0
2023-03-16 20:14:46.296 [main] INFO  calculator.Calculator - POWER - 2.0 RAISED TO 3.0
2023-03-16 20:14:46.296 [main] INFO  calculator.Calculator - POWER - 2.0 RAISED TO 3.0 - ANSWER 8.0
2023-03-16 20:14:46.296 [main] INFO  calculator.Calculator - POWER - 4.0 RAISED TO 3.0
2023-03-16 20:14:46.297 [main] INFO  calculator.Calculator - POWER - 4.0 RAISED TO 3.0 - ANSWER 64.0
2023-03-16 20:14:46.297 [main] INFO  calculator.Calculator - NATURAL LOG - 2.4
2023-03-16 20:14:46.298 [main] INFO  calculator.Calculator - NATURAL LOG - 2.4 - ANSWER 0.8754687373538999
2023-03-16 20:14:46.298 [main] INFO  calculator.Calculator - NATURAL LOG - 2.1
2023-03-16 20:14:46.298 [main] INFO  calculator.Calculator - NATURAL LOG - 2.1 - ANSWER 0.7419373447293773
2023-03-16 20:14:46.299 [main] INFO  calculator.Calculator - SQUARE ROOT - 4.0
2023-03-16 20:14:46.299 [main] INFO  calculator.Calculator - SQUARE ROOT - 4.0 - ANSWER 2.0
2023-03-16 20:14:46.299 [main] INFO  calculator.Calculator - SQUARE ROOT - 1.0
2023-03-16 20:14:46.300 [main] INFO  calculator.Calculator - SQUARE ROOT - 1.0 - ANSWER 1.0
